name,instance_count,def,synonyms,image_count,id,frequency,synset
ashtray,136,a receptacle for the ash from smokers' cigars or cigarettes,['ashtray'],98,24,c,ashtray.n.01
asparagus,969,edible young shoots of the asparagus plant,['asparagus'],70,25,c,asparagus.n.02
atomizer,67,a dispenser that turns a liquid (such as perfume) into a fine mist,"['atomizer', 'atomiser', 'spray', 'sprayer', 'nebulizer', 'nebuliser']",46,26,c,atomizer.n.01
avocado,1048,a pear-shaped fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed,['avocado'],117,27,f,avocado.n.01
award,163,a tangible symbol signifying approval or distinction,"['award', 'accolade']",41,28,c,award.n.02
awning,4270,a canopy made of canvas to shelter people or things from rain or sun,['awning'],1395,29,f,awning.n.01
ax,8,an edge tool with a heavy bladed head mounted across a handle,"['ax', 'axe']",7,30,r,ax.n.01
baboon,3,large terrestrial monkeys having doglike muzzles,['baboon'],1,31,r,baboon.n.01
baby_buggy,447,a small vehicle with four wheels in which a baby or child is pushed around,"['baby_buggy', 'baby_carriage', 'perambulator', 'pram', 'stroller']",314,32,f,baby_buggy.n.01
basketball_backboard,42,a raised vertical board with basket attached; used to play basketball,['basketball_backboard'],31,33,c,backboard.n.01
backpack,3907,a bag carried by a strap on your back or shoulder,"['backpack', 'knapsack', 'packsack', 'rucksack', 'haversack']",1905,34,f,backpack.n.01
handbag,3947,a container used for carrying money and small personal items or accessories,"['handbag', 'purse', 'pocketbook']",1859,35,f,bag.n.04
suitcase,8537,cases used to carry belongings when traveling,"['suitcase', 'baggage', 'luggage']",1623,36,f,bag.n.06
bagel,372,glazed yeast-raised doughnut-shaped roll with hard crust,"['bagel', 'beigel']",47,37,c,bagel.n.01
bagpipe,6,a tubular wind instrument; the player blows air into a bag and squeezes it out,['bagpipe'],3,38,r,bagpipe.n.01
baguet,9,narrow French stick loaf,"['baguet', 'baguette']",3,39,r,baguet.n.01
bait,1,something used to lure fish or other animals into danger so they can be trapped or killed,"['bait', 'lure']",1,40,r,bait.n.02
ball,755,a spherical object used as a plaything,['ball'],305,41,f,ball.n.06
ballet_skirt,12,very short skirt worn by ballerinas,"['ballet_skirt', 'tutu']",6,42,r,ballet_skirt.n.01
balloon,1556,large tough nonrigid bag filled with gas or heated air,['balloon'],210,43,f,balloon.n.01
bamboo,243,woody tropical grass having hollow woody stems,['bamboo'],36,44,c,bamboo.n.02
banana,50552,elongated crescent-shaped yellow fruit with soft sweet flesh,['banana'],1787,45,f,banana.n.02
Band_Aid,19,trade name for an adhesive bandage to cover small cuts or blisters,['Band_Aid'],17,46,c,band_aid.n.01
bandage,92,a piece of soft material that covers and protects an injured part of the body,['bandage'],51,47,c,bandage.n.01
bandanna,219,large and brightly colored handkerchief; often used as a neckerchief,"['bandanna', 'bandana']",138,48,f,bandanna.n.01
banjo,3,a stringed instrument of the guitar family with a long neck and circular body,['banjo'],3,49,r,banjo.n.01
banner,5907,long strip of cloth or paper used for decoration or advertising,"['banner', 'streamer']",1470,50,f,banner.n.01
barbell,4,a bar to which heavy discs are attached at each end; used in weightlifting,['barbell'],3,51,r,barbell.n.01
barge,3,a flatbottom boat for carrying heavy loads (especially on canals),['barge'],2,52,r,barge.n.01
barrel,707,a cylindrical container that holds liquids,"['barrel', 'cask']",186,53,f,barrel.n.02
barrette,119,a pin for holding women's hair in place,['barrette'],76,54,c,barrette.n.01
barrow,30,a cart for carrying small loads; has handles and one or more wheels,"['barrow', 'garden_cart', 'lawn_cart', 'wheelbarrow']",26,55,c,barrow.n.03
baseball_base,404,a place that the runner must touch before scoring,['baseball_base'],303,56,f,base.n.03
baseball,1013,a ball used in playing baseball,['baseball'],738,57,f,baseball.n.02
baseball_bat,2698,an implement used in baseball by the batter,['baseball_bat'],1799,58,f,baseball_bat.n.01
baseball_cap,9028,a cap with a bill,"['baseball_cap', 'jockey_cap', 'golf_cap']",1934,59,f,baseball_cap.n.01
baseball_glove,2536,the handwear used by fielders in playing baseball,"['baseball_glove', 'baseball_mitt']",1609,60,f,baseball_glove.n.01
basket,3984,a container that is usually woven and has handles,"['basket', 'handbasket']",1622,61,f,basket.n.01
basketball,56,an inflated ball used in playing basketball,['basketball'],41,62,c,basketball.n.02
bass_horn,6,the lowest brass wind instrument,"['bass_horn', 'sousaphone', 'tuba']",4,63,r,bass_horn.n.01
bat_(animal),47,nocturnal mouselike mammal with forelimbs modified to form membranous wings,['bat_(animal)'],11,64,c,bat.n.01
bath_mat,336,a heavy towel or mat to stand on while drying yourself after a bath,['bath_mat'],270,65,f,bath_mat.n.01
bath_towel,1210,a large towel; to dry yourself after a bath,['bath_towel'],349,66,f,bath_towel.n.01
bathrobe,53,a loose-fitting robe of towelling; worn after a bath or swim,['bathrobe'],42,67,c,bathrobe.n.01
bathtub,868,a large open container that you fill with water and use to wash the body,"['bathtub', 'bathing_tub']",823,68,f,bathtub.n.01
batter_(food),26,"a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking",['batter_(food)'],6,69,r,batter.n.02
battery,155,a portable device that produces electricity,['battery'],48,70,c,battery.n.02
beachball,3,large and light ball; for play at the seaside,['beachball'],3,71,r,beach_ball.n.01
bead,1371,"a small ball with a hole through the middle used for ornamentation, jewellery, etc.",['bead'],42,72,c,bead.n.01
bean_curd,231,cheeselike food made of curdled soybean milk,"['bean_curd', 'tofu']",24,73,c,bean_curd.n.01
beanbag,20,a bag filled with dried beans or similar items; used in games or to sit on,['beanbag'],16,74,c,beanbag.n.01
beanie,1907,a small skullcap; formerly worn by schoolboys and college freshmen,"['beanie', 'beany']",605,75,f,beanie.n.01
bear,1069,large carnivorous or omnivorous mammals with shaggy coats and claws,['bear'],646,76,f,bear.n.01
bed,2137,a piece of furniture that provides a place to sleep,['bed'],1765,77,f,bed.n.01
bedpan,2,a shallow vessel used by a bedridden patient for defecation and urination,['bedpan'],2,78,r,bedpan.n.01
bedspread,188,decorative cover for a bed,"['bedspread', 'bedcover', 'bed_covering', 'counterpane', 'spread']",125,79,f,bedspread.n.01
cow,8085,cattle/cow,['cow'],1420,80,f,beef.n.01
beef_(food),1242,meat from an adult domestic bovine,"['beef_(food)', 'boeuf_(food)']",140,81,f,beef.n.02
beeper,4,an device that beeps when the person carrying it is being paged,"['beeper', 'pager']",4,82,r,beeper.n.01
beer_bottle,1227,a bottle that holds beer,['beer_bottle'],322,83,f,beer_bottle.n.01
beer_can,203,a can that holds beer,['beer_can'],60,84,c,beer_can.n.01
beetle,9,insect with hard wing covers,['beetle'],2,85,r,beetle.n.01
bell,590,a hollow device made of metal that makes a ringing sound when struck,['bell'],231,86,f,bell.n.01
bell_pepper,4369,large bell-shaped sweet pepper in green or red or yellow or orange or black varieties,"['bell_pepper', 'capsicum']",333,87,f,bell_pepper.n.02
belt,3683,a band to tie or buckle around the body (usually at the waist),['belt'],1941,88,f,belt.n.02
belt_buckle,589,the buckle used to fasten a belt,['belt_buckle'],367,89,f,belt_buckle.n.01
bench,4374,a long seat for more than one person,['bench'],1922,90,f,bench.n.01
beret,57,a cap with no brim or bill; made of soft cloth,['beret'],18,91,c,beret.n.01
bib,96,a napkin tied under the chin of a child while eating,['bib'],81,92,c,bib.n.02
Bible,2,the sacred writings of the Christian religions,['Bible'],1,93,r,bible.n.01
bicycle,4566,a wheeled vehicle that has two wheels and is moved by foot pedals,"['bicycle', 'bike_(bicycle)']",1852,94,f,bicycle.n.01
visor,777,a brim that projects to the front to shade the eyes,"['visor', 'vizor']",430,95,f,bill.n.09
billboard,1025,large outdoor signboard,['billboard'],247,96,f,billboard.n.01
binder,311,holds loose papers or magazines,"['binder', 'ring-binder']",94,97,c,binder.n.03
binoculars,22,an optical instrument designed for simultaneous use by both eyes,"['binoculars', 'field_glasses', 'opera_glasses']",21,98,c,binoculars.n.01
bird,11557,animal characterized by feathers and wings,['bird'],1821,99,f,bird.n.01
birdfeeder,16,an outdoor device that supplies food for wild birds,['birdfeeder'],16,100,c,bird_feeder.n.01
birdbath,12,an ornamental basin (usually in a garden) for birds to bathe in,['birdbath'],12,101,c,birdbath.n.01
birdcage,180,a cage in which a bird can be kept,['birdcage'],25,102,c,birdcage.n.01
birdhouse,60,a shelter for birds,['birdhouse'],41,103,c,birdhouse.n.01
birthday_cake,311,decorated cake served at a birthday party,['birthday_cake'],244,104,f,birthday_cake.n.01
birthday_card,23,a card expressing a birthday greeting,['birthday_card'],7,105,r,birthday_card.n.01
pirate_flag,1,a flag usually bearing a white skull and crossbones on a black background,['pirate_flag'],1,106,r,black_flag.n.01
black_sheep,214,sheep with a black coat,['black_sheep'],40,107,c,black_sheep.n.02
blackberry,406,large sweet black or very dark purple edible aggregate fruit,['blackberry'],40,108,c,blackberry.n.01
blackboard,154,sheet of slate; for writing with chalk,"['blackboard', 'chalkboard']",104,109,f,blackboard.n.01
blanket,3075,bedding that keeps a person warm in bed,['blanket'],1671,110,f,blanket.n.01
blazer,124,lightweight jacket; often striped in the colors of a club or school,"['blazer', 'sport_jacket', 'sport_coat', 'sports_jacket', 'sports_coat']",49,111,c,blazer.n.01
blender,316,an electrically powered mixer that mix or chop or liquefy foods,"['blender', 'liquidizer', 'liquidiser']",243,112,f,blender.n.01
blimp,3,a small nonrigid airship used for observation or as a barrage balloon,['blimp'],2,113,r,blimp.n.02
blinker,1269,a light that flashes on and off; used as a signal or to send messages,"['blinker', 'flasher']",242,114,f,blinker.n.01
blouse,623,a top worn by women,['blouse'],271,115,f,blouse.n.01
blueberry,2114,sweet edible dark-blue berries of blueberry plants,['blueberry'],104,116,f,blueberry.n.02
gameboard,17,a flat portable surface (usually rectangular) designed for board games,['gameboard'],8,117,r,board.n.09
boat,9981,a vessel for travel on water,"['boat', 'ship_(boat)']",1758,118,f,boat.n.01
bob,2,a small float usually made of cork; attached to a fishing line,"['bob', 'bobber', 'bobfloat']",1,119,r,bob.n.05
bobbin,190,a thing around which thread/tape/film or other flexible materials can be wound,"['bobbin', 'spool', 'reel']",48,120,c,bobbin.n.01
bobby_pin,43,a flat wire hairpin used to hold bobbed hair in place,"['bobby_pin', 'hairgrip']",14,121,c,bobby_pin.n.01
boiled_egg,125,egg cooked briefly in the shell in gently boiling water,"['boiled_egg', 'coddled_egg']",40,122,c,boiled_egg.n.01
bolo_tie,1,a cord fastened around the neck with an ornamental clasp and worn as a necktie,"['bolo_tie', 'bolo', 'bola_tie', 'bola']",1,123,r,bolo_tie.n.01
deadbolt,46,the part of a lock that is engaged or withdrawn with a key,['deadbolt'],37,124,c,bolt.n.03
bolt,11261,a screw that screws into a nut to form a fastener,['bolt'],1510,125,f,bolt.n.06
bonnet,10,a hat tied under the chin,['bonnet'],6,126,r,bonnet.n.01
book,33353,a written work or composition that has been published,['book'],1903,127,f,book.n.01
bookcase,113,a piece of furniture with shelves for storing books,['bookcase'],70,128,c,bookcase.n.01
booklet,439,a small book usually having a paper cover,"['booklet', 'brochure', 'leaflet', 'pamphlet']",86,129,c,booklet.n.01
bookmark,15,a marker (a piece of paper or ribbon) placed between the pages of a book,"['bookmark', 'bookmarker']",7,130,r,bookmark.n.01
boom_microphone,10,a pole carrying an overhead microphone projected over a film or tv set,"['boom_microphone', 'microphone_boom']",5,131,r,boom.n.04
boot,4194,footwear that covers the whole foot and lower leg,['boot'],1406,132,f,boot.n.01
bottle,7969,a glass or plastic vessel used for storing drinks or other liquids,['bottle'],1901,133,f,bottle.n.01
bottle_opener,15,an opener for removing caps or corks from bottles,['bottle_opener'],15,134,c,bottle_opener.n.01
bouquet,53,an arrangement of flowers that is usually given as a present,['bouquet'],28,135,c,bouquet.n.01
bow_(weapon),6,a weapon for shooting arrows,['bow_(weapon)'],6,136,r,bow.n.04
bow_(decorative_ribbons),1144,a decorative interlacing of ribbons,['bow_(decorative_ribbons)'],494,137,f,bow.n.08
bow-tie,359,a man's tie that ties in a bow,"['bow-tie', 'bowtie']",234,138,f,bow_tie.n.01
bowl,5308,a dish that is round and open at the top for serving foods,['bowl'],1922,139,f,bowl.n.03
pipe_bowl,1,a small round container that is open at the top for holding tobacco,['pipe_bowl'],1,140,r,bowl.n.08
bowler_hat,89,a felt hat that is round and hard with a narrow brim,"['bowler_hat', 'bowler', 'derby_hat', 'derby', 'plug_hat']",35,141,c,bowler_hat.n.01
bowling_ball,38,a large ball with finger holes used in the sport of bowling,['bowling_ball'],5,142,r,bowling_ball.n.01
box,7855,a (usually rectangular) container; may have a lid,['box'],1828,143,f,box.n.01
boxing_glove,22,large glove coverings the fists of a fighter worn for the sport of boxing,['boxing_glove'],8,144,r,boxing_glove.n.01
suspenders,88,elastic straps that hold trousers up (usually used in the plural),['suspenders'],63,145,c,brace.n.06
bracelet,3219,jewelry worn around the wrist for decoration,"['bracelet', 'bangle']",1668,146,f,bracelet.n.02
brass_plaque,4,a memorial made of brass,['brass_plaque'],4,147,r,brass.n.07
brassiere,118,an undergarment worn by women to support their breasts,"['brassiere', 'bra', 'bandeau']",95,148,c,brassiere.n.01
bread-bin,17,a container used to keep bread or cake in,"['bread-bin', 'breadbox']",17,149,c,bread-bin.n.01
bread,6550,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,['bread'],1567,150,f,bread.n.01
breechcloth,3,a garment that provides covering for the loins,"['breechcloth', 'breechclout', 'loincloth']",2,151,r,breechcloth.n.01
bridal_gown,118,a gown worn by the bride at a wedding,"['bridal_gown', 'wedding_gown', 'wedding_dress']",103,152,f,bridal_gown.n.01
briefcase,84,a case with a handle; for carrying papers or files or books,['briefcase'],50,153,c,briefcase.n.01
broccoli,12166,plant with dense clusters of tight green flower buds,['broccoli'],1309,154,f,broccoli.n.01
broach,9,a decorative pin worn by women,['broach'],6,155,r,brooch.n.01
broom,144,bundle of straws or twigs attached to a long handle; used for cleaning,['broom'],92,156,c,broom.n.01
brownie,217,square or bar of very rich chocolate cake usually with nuts,['brownie'],19,157,c,brownie.n.03
brussels_sprouts,590,the small edible cabbage-like buds growing along a stalk,['brussels_sprouts'],37,158,c,brussels_sprouts.n.01
bubble_gum,4,a kind of chewing gum that can be blown into bubbles,['bubble_gum'],4,159,r,bubble_gum.n.01
bucket,1346,a roughly cylindrical vessel that is open at the top,"['bucket', 'pail']",709,160,f,bucket.n.01
horse_buggy,19,a small lightweight carriage; drawn by a single horse,['horse_buggy'],9,161,r,buggy.n.01
bull,230,a cow with horns,['horned_cow'],82,162,c,bull.n.11
bulldog,21,a thickset short-haired dog with a large head and strong undershot lower jaw,['bulldog'],15,163,c,bulldog.n.01
bulldozer,4,large powerful tractor; a large blade in front flattens areas of ground,"['bulldozer', 'dozer']",3,164,r,bulldozer.n.01
bullet_train,80,a high-speed passenger train,['bullet_train'],61,165,c,bullet_train.n.01
bulletin_board,76,a board that hangs on a wall; displays announcements,"['bulletin_board', 'notice_board']",51,166,c,bulletin_board.n.02
bulletproof_vest,27,a vest capable of resisting the impact of a bullet,['bulletproof_vest'],5,167,r,bulletproof_vest.n.01
bullhorn,15,a portable loudspeaker with built-in microphone and amplifier,"['bullhorn', 'megaphone']",13,168,c,bullhorn.n.01
bun,1780,small rounded bread either plain or sweet,"['bun', 'roll']",642,169,f,bun.n.01
bunk_bed,44,beds built one above the other,['bunk_bed'],24,170,c,bunk_bed.n.01
buoy,1404,a float attached by rope to the seabed to mark channels in a harbor or underwater hazards,['buoy'],255,171,f,buoy.n.01
burrito,14,a flour tortilla folded around a filling,['burrito'],9,172,r,burrito.n.01
bus_(vehicle),3281,a vehicle carrying many passengers; used for public transport,"['bus_(vehicle)', 'autobus', 'charabanc', 'double-decker', 'motorbus', 'motorcoach']",1808,173,f,bus.n.01
business_card,84,a card on which are printed the person's name and business affiliation,['business_card'],31,174,c,business_card.n.01
butter,308,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,['butter'],158,175,f,butter.n.01
butterfly,296,insect typically having a slender body with knobbed antennae and broad colorful wings,['butterfly'],80,176,c,butterfly.n.01
button,7884,a round fastener sewn to shirts and coats etc to fit through buttonholes,['button'],1884,177,f,button.n.01
cab_(taxi),414,a car that takes passengers where they want to go in exchange for money,"['cab_(taxi)', 'taxi', 'taxicab']",158,178,f,cab.n.03
cabana,20,a small tent used as a dressing room beside the sea or a swimming pool,['cabana'],2,179,r,cabana.n.01
cabin_car,14,a car on a freight train for use of the train crew; usually the last car on the train,"['cabin_car', 'caboose']",12,180,c,cabin_car.n.01
cabinet,7371,a piece of furniture resembling a cupboard with doors and shelves and drawers,['cabinet'],1659,181,f,cabinet.n.01
locker,95,a storage compartment for clothes and valuables; usually it has a lock,"['locker', 'storage_locker']",7,182,r,cabinet.n.03
cake,2297,"baked goods made from or based on a mixture of flour, sugar, eggs, and fat",['cake'],834,183,f,cake.n.03
calculator,60,a small machine that is used for mathematical calculations,['calculator'],57,184,c,calculator.n.02
calendar,251,"a list or register of events (appointments/social events/court cases, etc)",['calendar'],174,185,f,calendar.n.02
calf,301,young of domestic cattle,['calf'],95,186,c,calf.n.01
camcorder,45,a portable television camera and videocassette recorder,['camcorder'],27,187,c,camcorder.n.01
camel,34,cud-chewing mammal used as a draft or saddle animal in desert regions,['camel'],22,188,c,camel.n.01
camera,2471,equipment for taking photographs,['camera'],1391,189,f,camera.n.01
camera_lens,167,a lens that focuses the image in a camera,['camera_lens'],90,190,c,camera_lens.n.01
camper_(vehicle),102,a recreational vehicle equipped for camping out while traveling,"['camper_(vehicle)', 'camping_bus', 'motor_home']",40,191,c,camper.n.02
can,1424,airtight sealed metal container for food or drink or paint etc.,"['can', 'tin_can']",445,192,f,can.n.01
can_opener,22,a device for cutting cans open,"['can_opener', 'tin_opener']",21,193,c,can_opener.n.01
candle,4288,stick of wax with a wick in the middle,"['candle', 'candlestick']",1132,194,f,candle.n.01
candle_holder,530,a holder with sockets for candles,['candle_holder'],177,195,f,candlestick.n.01
candy_bar,29,a candy shaped as a bar,['candy_bar'],4,196,r,candy_bar.n.01
candy_cane,107,a hard candy in the shape of a rod (usually with stripes),['candy_cane'],17,197,c,candy_cane.n.01
walking_cane,106,a stick that people can lean on to help them walk,['walking_cane'],84,198,c,cane.n.01
canister,218,metal container for storing dry foods such as tea or flour,"['canister', 'cannister']",55,199,c,canister.n.02
canoe,96,small and light boat; pointed at both ends; propelled with a paddle,['canoe'],30,200,c,canoe.n.01
cantaloup,193,the fruit of a cantaloup vine; small to medium-sized melon with yellowish flesh,"['cantaloup', 'cantaloupe']",25,201,c,cantaloup.n.02
canteen,2,a flask for carrying water; used by soldiers or travelers,['canteen'],2,202,r,canteen.n.01
cap_(headwear),636,a tight-fitting headwear,['cap_(headwear)'],125,203,f,cap.n.01
bottle_cap,5293,a top (as for a bottle),"['bottle_cap', 'cap_(container_lid)']",1135,204,f,cap.n.02
cape,27,a sleeveless garment like a cloak but shorter,['cape'],19,205,c,cape.n.02
cappuccino,87,equal parts of espresso and steamed milk,"['cappuccino', 'coffee_cappuccino']",72,206,c,cappuccino.n.01
car_(automobile),10528,a motor vehicle with four wheels,"['car_(automobile)', 'auto_(automobile)', 'automobile']",1926,207,f,car.n.01
railcar_(part_of_a_train),928,a wheeled vehicle adapted to the rails of railroad (mark each individual railcar separately),"['railcar_(part_of_a_train)', 'railway_car_(part_of_a_train)', 'railroad_car_(part_of_a_train)']",159,208,f,car.n.02
elevator_car,10,where passengers ride up and down,['elevator_car'],7,209,r,car.n.04
car_battery,1,a battery in a motor vehicle,"['car_battery', 'automobile_battery']",1,210,r,car_battery.n.01
identity_card,16,a card certifying the identity of the bearer,['identity_card'],13,211,c,card.n.02
card,122,a rectangular piece of paper used to send messages (e.g. greetings or pictures),['card'],35,212,c,card.n.03
cardigan,22,knitted jacket that is fastened up the front with buttons or a zipper,['cardigan'],18,213,c,cardigan.n.01
cargo_ship,15,a ship designed to carry cargo,"['cargo_ship', 'cargo_vessel']",8,214,r,cargo_ship.n.01
carnation,22,plant with pink to purple-red spice-scented usually double flowers,['carnation'],6,215,r,carnation.n.01
horse_carriage,49,a vehicle with wheels drawn by one or more horses,['horse_carriage'],35,216,c,carriage.n.02
carrot,18049,deep orange edible root of the cultivated carrot plant,['carrot'],1222,217,f,carrot.n.01
tote_bag,231,a capacious bag or basket,['tote_bag'],103,218,f,carryall.n.01
cart,51,a heavy open wagon usually having two wheels and drawn by an animal,['cart'],28,219,c,cart.n.01
carton,206,a container made of cardboard for holding food or drink,['carton'],63,220,c,carton.n.02
cash_register,33,a cashbox with an adding machine to register transactions,"['cash_register', 'register_(for_cash_transactions)']",28,221,c,cash_register.n.01
casserole,12,food cooked and served in a casserole,['casserole'],5,222,r,casserole.n.01
cassette,74,a container that holds a magnetic tape used for recording or playing sound or video,['cassette'],7,223,r,cassette.n.01
cast,15,bandage consisting of a firm covering that immobilizes broken bones while they heal,"['cast', 'plaster_cast', 'plaster_bandage']",14,224,c,cast.n.05
cat,2387,a domestic house cat,['cat'],1918,225,f,cat.n.01
cauliflower,1035,edible compact head of white undeveloped flowers,['cauliflower'],133,226,f,cauliflower.n.02
cayenne_(spice),49,ground pods and seeds of pungent red peppers of the genus Capsicum,"['cayenne_(spice)', 'cayenne_pepper_(spice)', 'red_pepper_(spice)']",16,227,c,cayenne.n.02
CD_player,37,electronic equipment for playing compact discs (CDs),['CD_player'],27,228,c,cd_player.n.01
celery,911,widely cultivated herb with aromatic leaf stalks that are eaten raw or cooked,['celery'],110,229,f,celery.n.01
cellular_telephone,2902,a hand-held mobile telephone,"['cellular_telephone', 'cellular_phone', 'cellphone', 'mobile_phone', 'smart_phone']",1895,230,f,cellular_telephone.n.01
chain_mail,13,(Middle Ages) flexible armor made of interlinked metal rings,"['chain_mail', 'ring_mail', 'chain_armor', 'chain_armour', 'ring_armor', 'ring_armour']",4,231,r,chain_mail.n.01
chair,11549,"a seat for one person, with a support for the back",['chair'],1927,232,f,chair.n.01
chaise_longue,15,a long chair; for reclining,"['chaise_longue', 'chaise', 'daybed']",8,233,r,chaise_longue.n.01
chalice,1,a bowl-shaped drinking vessel; especially the Eucharistic cup,['chalice'],1,234,r,chalice.n.01
chandelier,392,branched lighting fixture; often ornate; hangs from the ceiling,['chandelier'],263,235,f,chandelier.n.01
chap,19,leather leggings without a seat; worn over trousers by cowboys to protect their legs,['chap'],10,236,r,chap.n.04
checkbook,2,a book issued to holders of checking accounts,"['checkbook', 'chequebook']",2,237,r,checkbook.n.01
checkerboard,3,a board having 64 squares of two alternating colors,['checkerboard'],3,238,r,checkerboard.n.01
cherry,903,a red fruit with a single hard stone,['cherry'],87,239,c,cherry.n.03
chessboard,13,a checkerboard used to play chess,['chessboard'],9,240,r,chessboard.n.01
chicken_(animal),417,a domestic fowl bred for flesh or eggs,['chicken_(animal)'],71,241,c,chicken.n.02
chickpea,265,the seed of the chickpea plant; usually dried,"['chickpea', 'garbanzo']",13,242,c,chickpea.n.01
chili_(vegetable),354,very hot and finely tapering pepper of special pungency,"['chili_(vegetable)', 'chili_pepper_(vegetable)', 'chilli_(vegetable)', 'chilly_(vegetable)', 'chile_(vegetable)']",18,243,c,chili.n.02
chime,2,an instrument consisting of a set of bells that are struck with a hammer,"['chime', 'gong']",2,244,r,chime.n.01
chinaware,41,dishware made of high quality porcelain,['chinaware'],5,245,r,chinaware.n.01
crisp_(potato_chip),541,a thin crisp slice of potato fried in deep fat,"['crisp_(potato_chip)', 'potato_chip']",45,246,c,chip.n.04
poker_chip,21,a small disk-shaped counter used to represent money when gambling,['poker_chip'],1,247,r,chip.n.06
chocolate_bar,179,a bar of chocolate candy,['chocolate_bar'],23,248,c,chocolate_bar.n.01
chocolate_cake,80,cake containing chocolate,['chocolate_cake'],32,249,c,chocolate_cake.n.01
chocolate_milk,7,milk flavored with chocolate syrup,['chocolate_milk'],4,250,r,chocolate_milk.n.01
chocolate_mousse,1,dessert mousse made with chocolate,['chocolate_mousse'],1,251,r,chocolate_mousse.n.01
choker,1380,"shirt collar, animal collar, or tight-fitting necklace","['choker', 'collar', 'neckband']",858,252,f,choker.n.03
chopping_board,840,a wooden board where meats or vegetables can be cut,"['chopping_board', 'cutting_board', 'chopping_block']",661,253,f,chopping_board.n.01
chopstick,557,one of a pair of slender sticks used as oriental tableware to eat food with,['chopstick'],168,254,f,chopstick.n.01
Christmas_tree,303,an ornamented evergreen used as a Christmas decoration,['Christmas_tree'],210,255,f,christmas_tree.n.05
slide,106,sloping channel through which things can descend,['slide'],65,256,c,chute.n.02
cider,38,a beverage made from juice pressed from apples,"['cider', 'cyder']",4,257,r,cider.n.01
cigar_box,3,a box for holding cigars,['cigar_box'],2,258,r,cigar_box.n.01
cigarette,269,finely ground tobacco wrapped in paper; for smoking,['cigarette'],159,259,f,cigarette.n.01
cigarette_case,35,a small flat case for holding cigarettes,"['cigarette_case', 'cigarette_pack']",31,260,c,cigarette_case.n.01
cistern,901,a tank that holds the water used to flush a toilet,"['cistern', 'water_tank']",811,261,f,cistern.n.02
clarinet,1,a single-reed instrument with a straight tube,['clarinet'],1,262,r,clarinet.n.01
clasp,197,a fastener (as a buckle or hook) that is used to hold two things together,['clasp'],42,263,c,clasp.n.01
cleansing_agent,63,a preparation used in cleaning something,"['cleansing_agent', 'cleanser', 'cleaner']",27,264,c,cleansing_agent.n.01
